,,,,,,,,,,,,,,,,,,,,,,,
,,,,8th graders,7%,,test rate,pass rate,total pass,% Asian,% Black,% Hispanic,% White,% with Disabilities,% ELL,% Poverty,Economic Need Index,,,,,,
04M072,The Lexington Academy,11,s,82,6,,13.4%,,,2.6%,13.9%,80.5%,2.7%,24.4%,11.9%,90.2%,90.9%,,,,,,
04M096,P.S. 096 Joseph Lanzetta,s,s,65,5,,#VALUE!,,,2.3%,25.4%,68.0%,3.0%,31.0%,20.4%,94.0%,96.5%,,,,,,
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,9,s,92,6,,9.8%,,,3.3%,31.9%,62.4%,1.8%,32.1%,9.1%,89.2%,92.4%,,,,,,
04M171,P.S. 171 Patrick Henry,43,s,90,6,,47.8%,,,6.2%,26.6%,59.9%,4.3%,21.4%,3.3%,69.2%,77.7%,,,,,,
04M206,P.S. 206 Jose Celso Barbosa,17,s,47,3,,36.2%,,,2.5%,27.9%,63.8%,3.0%,41.9%,16.1%,84.1%,88.6%,,,,,,
04M224,M.S. 224 Manhattan East School for Arts & Academic,14,s,55,4,,25.5%,,,9.9%,26.7%,53.5%,8.1%,27.9%,7.6%,72.7%,72.2%,,,,,,
04M372,Esperanza Preparatory Academy,s,s,71,5,,#VALUE!,,,2.1%,11.1%,85.0%,1.6%,25.6%,29.7%,90.5%,92.7%,,,,,,
04M377,Renaissance School of the Arts,6,s,52,4,,11.5%,,,1.4%,32.7%,61.9%,2.7%,30.6%,8.8%,93.2%,93.7%,,,,,,
04M406,Global Technology Preparatory,s,s,48,3,,#VALUE!,,,3.2%,34.4%,58.4%,0.8%,40.8%,9.6%,86.4%,90.8%,,,,,,
04M610,Young Women's Leadership School,8,s,50,4,,16.0%,,,8.7%,23.9%,60.9%,3.7%,20.8%,2.7%,79.8%,76.9%,,,,,,
04M825,Isaac Newton Middle School for Math & Science,20,s,55,4,,36.4%,,,5.7%,26.0%,65.6%,2.6%,31.3%,12.0%,91.1%,88.0%,,,,,,
04M964,Central Park East II,6,s,30,2,,20.0%,,,6.5%,29.5%,35.0%,20.5%,21.7%,0.4%,42.2%,57.7%,,,,,,
05M046,P.S. 046 Arthur Tappan,8,s,65,5,,12.3%,,,0.6%,48.7%,48.7%,0.8%,29.8%,10.4%,94.1%,95.2%,,,,,,
05M123,P.S. 123 Mahalia Jackson,s,s,53,4,,#VALUE!,,,1.5%,51.4%,40.7%,4.2%,24.8%,19.6%,95.4%,92.7%,,,,,,
05M129,P.S. 129 John H. Finley,21,s,54,4,,38.9%,,,3.4%,48.5%,44.4%,1.1%,25.3%,8.5%,92.9%,91.8%,,,,,,
05M148,Eagle Academy for Young Men of Harlem,10,s,55,4,,18.2%,,,0.3%,68.9%,24.5%,0.6%,28.0%,3.1%,76.1%,82.1%,,,,,,
05M161,P.S. 161 Pedro Albizu Campos,16,s,124,9,,12.9%,,,2.1%,20.6%,74.1%,2.0%,24.8%,26.7%,96.4%,93.3%,,,,,,
05M286,Urban Assembly Academy for Future Leaders,15,s,80,6,,18.8%,,,2.4%,55.6%,34.9%,1.8%,33.1%,6.5%,89.9%,90.9%,,,,,,
05M499,Frederick Douglass Academy,13,s,85,6,,15.3%,,,1.4%,69.5%,24.5%,1.7%,16.1%,4.1%,76.1%,79.7%,,,,,,
05M514,New Design Middle School,11,s,66,5,,16.7%,,,0.0%,55.4%,41.5%,2.3%,39.2%,6.2%,91.5%,87.7%,,,,,,
05M670,Thurgood Marshall Academy for Learning and Social,10,s,58,4,,17.2%,,,1.8%,69.7%,25.8%,1.3%,19.2%,3.5%,73.7%,77.4%,,,,,,
06M018,P.S. 018 Park Terrace,6,s,52,4,,11.5%,,,0.3%,2.0%,96.9%,0.8%,21.0%,32.9%,92.6%,88.8%,,,,,,
06M052,J.H.S. 052 Inwood,13,s,120,8,,10.8%,,,0.0%,3.4%,94.8%,0.7%,21.3%,42.7%,97.4%,91.1%,,,,,,
06M143,J.H.S. 143 Eleanor Roosevelt,17,s,108,8,,15.7%,,,0.0%,2.3%,91.7%,5.3%,27.9%,58.9%,88.7%,91.0%,,,,,,
06M187,P.S./I.S. 187 Hudson Cliffs,36,s,103,7,,35.0%,,,4.3%,3.4%,51.8%,36.4%,17.5%,4.8%,42.1%,42.1%,,,,,,
06M209,Hamilton Grange Middle School,18,s,85,6,,21.2%,,,1.1%,12.4%,83.1%,1.9%,22.1%,23.2%,92.9%,85.3%,,,,,,
06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,8,s,48,3,,16.7%,,,0.5%,2.4%,96.9%,0.0%,22.0%,35.8%,91.6%,86.7%,,,,,,
06M223,The Mott Hall School,81,s,87,6,,93.1%,,,2.4%,9.2%,82.2%,4.8%,14.0%,2.7%,80.1%,74.8%,,,,,,
06M293,City College Academy of the Arts,13,s,89,6,,14.6%,,,1.5%,3.5%,91.4%,3.0%,14.6%,5.5%,82.6%,80.9%,,,,,,
06M311,Amistad Dual Language School,12,s,36,3,,33.3%,,,1.5%,1.5%,91.9%,4.3%,13.2%,25.3%,81.0%,75.6%,,,,,,
06M319,M.S. 319 - Maria Teresa,27,s,147,10,,18.4%,,,0.2%,4.3%,94.3%,1.2%,23.2%,37.3%,97.8%,89.2%,,,,,,
06M322,Middle School 322,22,s,121,8,,18.2%,,,0.6%,3.2%,94.5%,1.6%,20.6%,39.0%,92.6%,90.0%,,,,,,
06M324,M.S. 324 - Patria Mirabal,20,s,151,11,,13.2%,,,0.5%,12.0%,84.2%,2.8%,27.1%,34.3%,90.5%,87.0%,,,,,,
06M328,Community Math & Science Prep,9,s,92,6,,9.8%,,,3.9%,12.7%,82.5%,0.4%,35.8%,50.7%,99.1%,92.9%,,,,,,
06M346,Community Health Academy of the Heights,16,s,94,7,,17.0%,,,0.9%,6.5%,90.8%,1.6%,18.9%,17.4%,93.0%,89.1%,,,,,,
06M348,Washington Heights Expeditionary Learning School,6,s,87,6,,6.9%,,,0.9%,3.4%,91.7%,3.4%,20.6%,15.5%,76.3%,83.2%,,,,,,
06M349,Harbor Heights,s,s,64,4,,#VALUE!,,,0.0%,0.0%,100.0%,0.0%,0.0%,85.3%,98.4%,92.6%,,,,,,
06M366,Washington Heights Academy,15,s,55,4,,27.3%,,,1.9%,1.8%,93.9%,1.8%,15.6%,12.8%,89.5%,81.0%,,,,,,
06M528,I.S. 528 Bea Fuller Rodgers School,s,s,76,5,,#VALUE!,,,0.4%,1.3%,98.2%,0.0%,17.4%,24.6%,96.0%,87.1%,,,,,,
07X005,P.S. 5 Port Morris,8,s,72,5,,11.1%,,,0.4%,27.4%,68.4%,2.9%,22.3%,23.3%,95.4%,95.0%,,,,,,
07X029,P.S./M.S. 029 Melrose School,10,s,83,6,,12.0%,,,1.5%,29.9%,66.0%,1.1%,20.2%,12.8%,92.4%,93.5%,,,,,,
07X031,P.S./M.S. 031 The William Lloyd Garrison,9,s,77,5,,11.7%,,,2.8%,27.4%,66.4%,2.5%,24.6%,14.0%,91.2%,91.4%,,,,,,
07X151,J.H.S. 151 Lou Gehrig,s,s,91,6,,#VALUE!,,,0.0%,26.8%,70.5%,2.3%,24.5%,33.7%,99.2%,94.1%,,,,,,
07X221,South Bronx Preparatory: A College Board School,8,s,96,7,,8.3%,,,1.5%,25.0%,71.0%,1.8%,26.7%,7.3%,96.4%,92.7%,,,,,,
07X223,The Laboratory School of Finance and Technology: X,18,s,99,7,,18.2%,,,0.6%,17.8%,80.6%,0.7%,21.3%,8.9%,97.4%,92.0%,,,,,,
07X224,P.S./I.S. 224,s,s,129,9,,#VALUE!,,,0.3%,26.3%,71.8%,1.4%,27.1%,22.1%,98.0%,96.1%,,,,,,
07X296,South Bronx Academy for Applied Media,6,s,84,6,,7.1%,,,1.2%,32.8%,64.0%,0.8%,31.6%,10.3%,93.3%,94.9%,,,,,,
07X298,Academy of Public Relations,9,s,80,6,,11.3%,,,0.4%,20.6%,76.5%,1.6%,27.1%,27.9%,91.1%,94.0%,,,,,,
07X343,Academy of Applied Mathematics and Technology,31,s,96,7,,32.3%,,,0.7%,28.3%,69.0%,1.3%,25.0%,11.7%,94.3%,93.7%,,,,,,
07X500,Hostos-Lincoln Academy of Science,s,s,57,4,,#VALUE!,,,2.2%,22.0%,73.6%,1.4%,21.9%,4.3%,85.4%,86.2%,,,,,,
07X551,The Urban Assembly Bronx Academy of Letters,s,s,79,6,,#VALUE!,,,0.3%,33.2%,62.9%,2.9%,30.7%,14.1%,89.8%,94.2%,,,,,,
07X584,I.S. 584,10,s,106,7,,9.4%,,,0.0%,24.2%,75.1%,0.0%,33.2%,23.1%,97.1%,94.9%,,,,,,
08X071,P.S. 071 Rose E. Scala,96,s,178,12,,53.9%,,,8.2%,5.0%,62.5%,22.8%,19.6%,10.9%,73.0%,59.9%,,,,,,
08X123,J.H.S. 123 James M. Kieran,11,s,89,6,,12.4%,,,2.8%,23.7%,72.4%,0.3%,27.3%,26.5%,87.3%,92.5%,,,,,,
08X125,J.H.S. 125 Henry Hudson,39,s,118,8,,33.1%,,,25.1%,12.3%,51.0%,7.2%,20.3%,24.2%,95.5%,89.3%,,,,,,
08X131,J.H.S. 131 Albert Einstein,22,s,158,11,,13.9%,,,4.6%,32.6%,60.7%,1.1%,32.8%,12.2%,84.3%,89.5%,,,,,,
08X269,Bronx Studio School for Writers and Artists,s,s,85,6,,#VALUE!,,,0.6%,19.8%,78.4%,1.1%,26.3%,13.1%,84.8%,90.6%,,,,,,
08X301,M.S. 301 Paul L. Dunbar,s,s,78,5,,#VALUE!,,,0.0%,40.8%,57.1%,1.6%,25.3%,26.1%,94.7%,94.6%,,,,,,
08X302,M.S. 302 Luisa Dessus Cruz,13,s,164,11,,7.9%,,,0.4%,21.7%,75.8%,1.2%,30.7%,26.8%,94.1%,94.3%,,,,,,
08X337,The School for Inquiry and Social Justice,39,s,157,11,,24.8%,,,1.9%,23.7%,71.8%,0.6%,26.6%,13.3%,79.9%,84.7%,,,,,,
08X367,"Archimedes Academy for Math, Science and Technolog",30,s,98,7,,30.6%,,,9.9%,28.0%,59.2%,1.9%,25.2%,9.5%,82.5%,84.7%,,,,,,
08X371,Urban Institute of Mathematics,39,s,112,8,,34.8%,,,4.0%,12.3%,65.7%,16.0%,21.1%,6.9%,77.1%,61.6%,,,,,,
08X375,The Bronx Mathematics Preparatory School,17,s,73,5,,23.3%,,,2.5%,28.3%,65.4%,1.3%,37.5%,14.6%,99.2%,92.6%,,,,,,
08X376,Antonia Pantoja Preparatory Academy: A College Boa,9,s,46,3,,19.6%,,,7.2%,18.6%,70.5%,2.2%,26.7%,15.8%,81.4%,87.2%,,,,,,
08X424,The Hunts Point School,s,s,110,8,,#VALUE!,,,1.3%,23.0%,73.5%,1.0%,30.1%,24.3%,94.5%,94.1%,,,,,,
08X448,Soundview Academy for Culture and Scholarship,19,s,121,8,,15.7%,,,2.6%,33.8%,62.1%,1.0%,27.8%,9.1%,79.2%,85.6%,,,,,,
08X467,Mott Hall Community School,21,s,113,8,,18.6%,,,2.7%,17.5%,68.9%,10.9%,31.1%,11.8%,86.4%,76.7%,,,,,,
08X562,Blueprint Middle School,29,s,95,7,,30.5%,,,18.8%,14.3%,60.7%,5.1%,22.9%,12.5%,83.9%,86.6%,,,,,,
09X004,P.S./M.S. 004 Crotona Park West,7,s,61,4,,11.5%,,,0.7%,54.5%,42.6%,1.2%,24.9%,11.9%,92.5%,95.2%,,,,,,
09X022,J.H.S. 022 Jordan L. Mott,24,s,149,10,,16.1%,,,1.4%,20.7%,75.5%,2.0%,23.6%,35.8%,97.5%,95.6%,,,,,,
09X117,I.S. 117 Joseph H. Wade,s,s,177,12,,#VALUE!,,,1.9%,17.5%,79.7%,0.4%,24.2%,39.6%,94.5%,95.7%,,,,,,
09X128,Mott Hall III,68,s,118,8,,57.6%,,,1.1%,41.0%,55.9%,0.6%,17.1%,4.7%,93.4%,89.1%,,,,,,
09X215,Kappa,25,s,78,5,,32.1%,,,5.7%,47.3%,44.8%,1.3%,24.6%,15.1%,90.5%,93.5%,,,,,,
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,63,s,91,6,,69.2%,,,2.8%,4.4%,91.0%,1.1%,18.9%,28.7%,86.7%,91.9%,,,,,,
09X219,I.S. 219 New Venture School,7,s,106,7,,6.6%,,,0.6%,38.4%,59.9%,0.9%,30.4%,26.7%,94.3%,96.6%,,,,,,
09X229,I.S. 229 Roland Patterson,s,s,83,6,,#VALUE!,,,0.4%,39.0%,59.3%,0.0%,32.5%,19.5%,92.7%,95.7%,,,,,,
09X231,Eagle Academy for Young Men,7,s,59,4,,11.9%,,,0.6%,55.0%,42.7%,0.4%,27.0%,5.1%,78.3%,77.9%,,,,,,
09X232,I.S. 232,41,s,172,12,,23.8%,,,0.8%,18.6%,79.7%,0.8%,23.0%,39.1%,96.3%,93.1%,,,,,,
09X241,Urban Assembly School for Applied Math and Science,13,s,83,6,,15.7%,,,0.2%,32.8%,65.6%,0.6%,29.1%,13.5%,93.5%,89.7%,,,,,,
09X303,I.S. X303 Leadership & Community Service,16,s,131,9,,12.2%,,,0.9%,25.9%,71.4%,0.9%,32.8%,12.0%,99.4%,92.5%,,,,,,
09X313,I.S. 313 School of Leadership Development,9,s,106,7,,8.5%,,,0.6%,29.5%,68.9%,1.0%,24.1%,32.4%,92.4%,95.3%,,,,,,
09X323,Bronx Writing Academy,29,s,159,11,,18.2%,,,1.6%,32.0%,63.9%,1.4%,25.1%,28.8%,95.0%,94.0%,,,,,,
09X324,Bronx Early College Academy for Teaching & Learnin,13,s,65,5,,20.0%,,,2.9%,26.4%,68.4%,1.5%,19.0%,12.1%,87.9%,88.4%,,,,,,
09X325,Urban Science Academy,16,s,115,8,,13.9%,,,0.6%,30.6%,67.5%,1.3%,24.6%,33.8%,87.4%,93.9%,,,,,,
09X327,Comprehensive Model School Project M.S. 327,15,s,98,7,,15.3%,,,0.3%,21.0%,77.2%,1.2%,24.8%,11.9%,91.0%,89.4%,,,,,,
09X328,New Millennium Business Academy Middle School,21,s,73,5,,28.8%,,,0.0%,32.6%,66.1%,0.8%,28.5%,33.9%,85.5%,91.4%,,,,,,
09X339,I.S. 339,27,s,169,12,,16.0%,,,1.7%,29.3%,68.0%,0.6%,26.9%,29.3%,91.3%,94.6%,,,,,,
09X361,The Highbridge Green School,18,s,132,9,,13.6%,,,0.5%,23.9%,73.6%,1.0%,25.9%,21.7%,97.2%,91.8%,,,,,,
09X413,Bronx High School for Medical Science,10,s,48,3,,20.8%,,,7.6%,28.2%,61.7%,1.2%,19.9%,12.7%,83.4%,90.4%,,,,,,
09X454,Science and Technology Academy: A Mott Hall School,35,s,155,11,,22.6%,,,2.9%,28.9%,68.0%,0.2%,20.6%,18.3%,91.7%,86.5%,,,,,,
09X505,"Bronx School for Law, Government and Justice",13,s,89,6,,14.6%,,,1.2%,24.6%,71.3%,0.9%,21.0%,10.4%,89.9%,87.0%,,,,,,
09X568,Young Women's Leadership School of the Bronx,30,s,76,5,,39.5%,,,2.6%,36.6%,58.3%,1.1%,19.6%,6.0%,86.2%,82.2%,,,,,,
10X003,P.S. 3 Raul Julia Micro Society,13,s,49,3,,26.5%,,,0.9%,29.0%,69.8%,0.3%,19.8%,12.9%,94.5%,91.5%,,,,,,
10X015,P.S. X015 Institute for Environmental Learning,27,s,56,4,,48.2%,,,1.0%,11.5%,86.3%,0.2%,20.0%,9.8%,79.0%,87.5%,,,,,,
10X020,"P.S./M.S. 20 P.O.George J. Werdann, III",42,s,119,8,,35.3%,,,9.2%,10.9%,72.4%,5.4%,24.5%,24.2%,94.8%,87.2%,,,,,,
10X037,P.S. X037 - Multiple Intelligence School,6,s,70,5,,8.6%,,,2.0%,21.5%,73.2%,1.9%,27.6%,15.3%,85.3%,86.5%,,,,,,
10X045,Thomas C. Giordano Middle School 45,46,s,257,18,,17.9%,,,2.0%,15.6%,77.2%,4.4%,18.5%,20.1%,97.0%,93.6%,,,,,,
10X080,J.H.S. 080 The Mosholu Parkway,51,s,231,16,,22.1%,,,12.7%,12.9%,68.6%,4.9%,22.7%,33.6%,90.6%,88.7%,,,,,,
10X095,P.S. 095 Sheila Mencher,42,s,160,11,,26.3%,,,6.2%,17.0%,70.1%,4.7%,19.5%,17.8%,81.2%,85.4%,,,,,,
10X206,I.S. 206 Ann Mersereau,8,s,69,5,,11.6%,,,1.9%,13.0%,83.6%,0.5%,32.4%,31.9%,90.3%,94.9%,,,,,,
10X225,Theatre Arts Production Company School,6,s,51,4,,11.8%,,,1.3%,26.5%,69.1%,1.6%,23.2%,7.7%,79.8%,87.5%,,,,,,
10X228,Jonas Bronck Academy,64,s,90,6,,71.1%,,,6.7%,13.8%,75.0%,2.2%,18.3%,5.6%,89.6%,83.6%,,,,,,
10X243,West Bronx Academy for the Future,18,s,95,7,,18.9%,,,1.8%,18.1%,77.8%,1.6%,26.0%,12.4%,94.6%,89.8%,,,,,,
10X244,The New School for Leadership and Journalism,91,s,269,19,,33.8%,,,4.1%,12.3%,80.2%,2.4%,22.1%,21.4%,96.8%,87.9%,,,,,,
10X254,I.S. 254,13,s,141,10,,9.2%,,,2.1%,17.5%,78.9%,0.9%,27.5%,34.1%,88.7%,93.2%,,,,,,
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",38,s,139,10,,27.3%,,,3.8%,16.1%,78.9%,0.5%,19.7%,29.9%,94.2%,95.2%,,,,,,
10X280,P.S./M.S. 280 Mosholu Parkway,41,s,101,7,,40.6%,,,10.4%,7.9%,75.1%,5.9%,28.0%,16.8%,95.9%,87.7%,,,,,,
10X308,Bronx Dance Academy School,19,s,80,6,,23.8%,,,1.5%,22.3%,75.5%,0.7%,23.8%,4.8%,92.9%,87.2%,,,,,,
10X315,P.S. 315 Lab School,12,s,30,2,,40.0%,,,1.2%,13.3%,84.3%,0.4%,21.3%,15.7%,97.6%,93.6%,,,,,,
10X331,The Bronx School of Young Leaders,35,s,127,9,,27.6%,,,1.7%,25.4%,72.9%,0.0%,23.2%,19.6%,87.8%,94.3%,,,,,,
10X342,International School for Liberal Arts,s,s,51,4,,#VALUE!,,,0.2%,0.4%,99.2%,0.2%,7.1%,66.5%,97.5%,95.8%,,,,,,
10X363,Academy For Personal Leadership And Excellence,45,s,180,13,,25.0%,,,1.6%,10.2%,86.7%,0.9%,25.5%,33.6%,89.0%,91.0%,,,,,,
10X368,In-Tech Academy (M.S. / High School 368),27,s,155,11,,17.4%,,,4.1%,8.8%,81.6%,4.0%,20.7%,16.6%,86.3%,81.0%,,,,,,
10X390,M.S. 390,24,s,164,11,,14.6%,,,0.6%,12.8%,86.5%,0.2%,25.0%,29.7%,98.1%,95.0%,,,,,,
10X391,The Angelo Patri Middle School,17,s,189,13,,9.0%,,,1.5%,21.9%,74.3%,1.3%,27.0%,36.0%,91.9%,95.3%,,,,,,
10X447,Creston Academy,29,s,157,11,,18.5%,,,1.5%,9.8%,86.5%,1.3%,18.3%,35.0%,91.7%,94.6%,,,,,,
10X459,East Fordham Academy for the Arts,10,s,100,7,,10.0%,,,1.8%,12.9%,81.3%,1.1%,27.7%,30.9%,92.1%,95.3%,,,,,,
11X019,P.S. 019 Judith K. Weiss,24,s,46,3,,52.2%,,,2.9%,6.8%,28.0%,60.1%,16.0%,9.4%,59.7%,42.9%,,,,,,
11X089,P.S. 089 Bronx,25,s,158,11,,15.8%,,,9.2%,18.9%,54.5%,15.9%,17.1%,20.8%,77.1%,83.3%,,,,,,
11X144,J.H.S. 144 Michelangelo,42,s,177,12,,23.7%,,,2.8%,60.2%,32.5%,4.1%,27.6%,10.6%,76.0%,76.5%,,,,,,
11X175,P.S. 175 City Island,14,s,44,3,,31.8%,,,3.6%,9.0%,35.8%,48.8%,17.8%,3.0%,51.2%,35.8%,,,,,,
11X180,M.S. 180 Dr. Daniel Hale Williams,151,s,303,21,,49.8%,,,2.9%,69.6%,22.4%,2.6%,17.5%,2.0%,74.9%,57.6%,,,,,,
11X287,North Bronx School of Empowerment,23,s,181,13,,12.7%,,,2.8%,59.2%,33.1%,2.5%,26.6%,13.9%,86.8%,84.8%,,,,,,
11X326,Bronx Green Middle School,37,s,135,9,,27.4%,,,6.6%,21.5%,57.7%,13.4%,21.5%,19.2%,93.7%,84.3%,,,,,,
11X355,Bronx Alliance Middle School,24,s,129,9,,18.6%,,,4.1%,63.1%,30.7%,0.9%,20.9%,5.3%,82.0%,82.0%,,,,,,
11X370,Leaders of Tomorrow,29,s,130,9,,22.3%,,,2.0%,56.5%,36.3%,2.7%,32.7%,13.2%,95.2%,86.2%,,,,,,
11X462,Cornerstone Academy for Social Action Middle Schoo,24,s,94,7,,25.5%,,,0.0%,64.0%,32.6%,2.6%,24.7%,2.2%,81.6%,71.3%,,,,,,
11X468,Pelham Academy of Academics and Community Engageme,35,s,101,7,,34.7%,,,7.4%,13.9%,62.5%,15.5%,21.4%,13.6%,88.2%,79.4%,,,,,,
11X498,P.S./M.S. 11X498 - VAN NEST ACADEMY,36,s,95,7,,37.9%,,,7.4%,11.9%,63.5%,16.0%,22.2%,6.8%,75.2%,69.2%,,,,,,
11X529,One World Middle School at Edenwald,35,s,120,8,,29.2%,,,3.0%,58.4%,32.2%,1.8%,23.2%,6.9%,81.3%,71.5%,,,,,,
11X532,Baychester Middle School,15,s,108,8,,13.9%,,,1.7%,68.0%,26.7%,0.7%,21.7%,4.0%,86.3%,76.3%,,,,,,
11X556,Bronx Park Middle School,52,s,147,10,,35.4%,,,9.4%,17.5%,58.4%,13.5%,19.0%,19.7%,88.4%,86.0%,,,,,,
11X566,Pelham Gardens Middle School,31,s,161,11,,19.3%,,,3.5%,59.0%,30.6%,4.2%,25.3%,6.7%,76.5%,75.4%,,,,,,
12X098,J.H.S. 098 Herman Ridder,s,s,72,5,,#VALUE!,,,3.3%,27.1%,67.5%,1.3%,21.3%,29.2%,95.4%,93.0%,,,,,,
12X129,M.S. 129 Academy for Independent Learning and Lead,29,s,169,12,,17.2%,,,2.7%,28.8%,66.2%,1.0%,29.4%,12.8%,92.8%,93.6%,,,,,,
12X190,E.S.M.T- I.S. 190,19,s,78,5,,24.4%,,,1.7%,22.0%,73.4%,0.8%,24.1%,9.1%,91.3%,89.3%,,,,,,
12X211,P.S. 211,7,s,85,6,,8.2%,,,0.2%,13.9%,85.1%,0.5%,19.6%,20.2%,92.1%,94.8%,,,,,,
12X212,P.S. 212,s,s,62,4,,#VALUE!,,,0.5%,34.6%,63.4%,0.7%,13.5%,21.1%,97.5%,93.2%,,,,,,
12X214,P.S. 214,28,s,147,10,,19.0%,,,2.6%,25.0%,69.5%,1.0%,18.6%,12.0%,87.4%,90.6%,,,,,,
12X217,School of Performing Arts,8,s,95,7,,8.4%,,,2.0%,31.3%,63.3%,1.0%,32.7%,18.3%,96.3%,94.6%,,,,,,
12X242,Mott Hall V,17,s,94,7,,18.1%,,,2.8%,16.6%,77.6%,1.2%,27.0%,12.6%,84.8%,87.9%,,,,,,
12X267,Bronx Latin,s,s,84,6,,#VALUE!,,,1.4%,19.0%,77.7%,1.2%,25.6%,14.5%,94.3%,90.2%,,,,,,
12X271,East Bronx Academy for the Future,14,s,89,6,,15.7%,,,1.8%,25.8%,70.0%,0.9%,28.9%,15.1%,91.8%,92.4%,,,,,,
12X273,Frederick Douglass Academy V. Middle School,11,s,73,5,,15.1%,,,1.8%,37.1%,58.9%,0.9%,25.0%,11.2%,88.8%,91.9%,,,,,,
12X286,Fannie Lou Hamer Middle School,s,s,87,6,,#VALUE!,,,0.4%,23.6%,73.6%,2.5%,23.2%,19.2%,87.0%,92.4%,,,,,,
12X316,Kappa III,34,s,128,9,,26.6%,,,1.8%,27.0%,69.1%,1.3%,26.2%,8.8%,90.1%,89.9%,,,,,,
12X318,"I.S. X318 Math, Science & Technology Through Arts",18,s,101,7,,17.8%,,,2.0%,26.2%,70.7%,0.8%,27.0%,17.6%,98.4%,93.4%,,,,,,
12X341,Accion Academy,7,s,54,4,,13.0%,,,0.7%,24.5%,72.8%,2.0%,29.1%,15.2%,90.7%,92.6%,,,,,,
12X372,Urban Assembly School for Wildlife Conservation,6,s,71,5,,8.5%,,,2.7%,24.9%,69.3%,2.1%,28.8%,13.1%,83.5%,89.9%,,,,,,
12X383,Emolior Academy,20,s,84,6,,23.8%,,,3.5%,24.7%,62.9%,3.1%,28.2%,19.7%,91.1%,90.8%,,,,,,
12X384,Entrada Academy,10,s,72,5,,13.9%,,,3.2%,15.7%,78.7%,1.2%,22.9%,40.6%,97.6%,93.1%,,,,,,
13K113,M.S. 113 Ronald Edmonds Learning Center,20,s,86,6,,23.3%,,,4.3%,68.2%,23.0%,2.6%,30.2%,5.9%,91.1%,84.6%,,,,,,
13K265,Dr. Susan S. McKinney Secondary School of the Arts,s,s,37,3,,#VALUE!,,,2.2%,69.2%,25.7%,1.1%,24.3%,4.6%,91.6%,89.8%,,,,,,
13K266,M.S. K266 - Park Place Community Middle School,8,s,68,5,,11.8%,,,2.5%,76.2%,15.6%,4.4%,37.5%,5.6%,84.4%,75.6%,,,,,,
13K282,P.S. 282 Park Slope,38,s,97,7,,39.2%,,,3.6%,52.7%,25.9%,15.9%,17.9%,3.4%,54.2%,58.2%,,,,,,
13K351,The Urban Assembly Unison School,21,s,44,3,,47.7%,,,7.4%,79.2%,11.4%,2.0%,31.5%,8.1%,89.3%,87.2%,,,,,,
13K492,Academy of Arts and Letters,26,s,58,4,,44.8%,,,6.9%,31.8%,16.4%,37.2%,21.0%,0.6%,29.9%,35.7%,,,,,,
13K527,Urban Assembly Institute of Math and Science for Y,22,s,49,3,,44.9%,,,9.0%,64.2%,14.0%,11.5%,16.7%,8.1%,84.8%,77.9%,,,,,,
13K691,Fort Greene Preparatory Academy,17,s,75,5,,22.7%,,,5.5%,62.2%,28.9%,2.0%,32.8%,7.5%,90.5%,85.9%,,,,,,
14K050,J.H.S. 050 John D. Wells,7,s,79,6,,8.9%,,,0.3%,21.1%,75.1%,2.8%,35.3%,17.6%,88.9%,86.0%,,,,,,
14K071,Juan Morel Campos Secondary School,s,s,84,6,,#VALUE!,,,0.7%,17.8%,75.7%,5.2%,32.8%,27.0%,87.1%,92.5%,,,,,,
14K084,P.S. 084 Jose De Diego,18,s,69,5,,26.1%,,,3.7%,3.8%,62.0%,25.5%,16.6%,15.9%,47.0%,56.7%,,,,,,
14K126,John Ericsson Middle School 126,35,s,137,10,,25.5%,,,1.1%,19.6%,68.8%,10.1%,25.9%,9.0%,84.1%,81.3%,,,,,,
14K157,P.S./I.S. 157 The Benjamin Franklin Health & Scien,15,s,64,4,,23.4%,,,0.4%,18.2%,78.7%,1.9%,27.3%,17.1%,86.6%,91.6%,,,,,,
14K582,M.S. 582,s,s,100,7,,#VALUE!,,,1.9%,23.8%,69.4%,3.4%,33.6%,13.2%,82.3%,85.6%,,,,,,
14K586,Lyons Community School,6,s,72,5,,8.3%,,,1.0%,37.1%,59.3%,2.6%,24.8%,13.5%,89.3%,90.3%,,,,,,
14K614,Young Women's Leadership School of Brooklyn,s,s,50,4,,#VALUE!,,,3.4%,48.5%,39.9%,5.2%,18.2%,7.9%,77.1%,79.8%,,,,,,
15K136,I.S. 136 Charles O. Dewey,18,s,169,12,,10.7%,,,7.6%,2.7%,81.2%,8.0%,23.1%,39.8%,97.3%,88.2%,,,,,,
15K442,M.S. 442 Carroll Gardens School for Innovation,25,s,79,6,,31.6%,,,5.4%,20.9%,39.3%,33.5%,38.5%,3.8%,49.4%,49.4%,,,,,,
15K448,Brooklyn Secondary School for Collaborative Studie,6,s,88,6,,6.8%,,,2.8%,37.4%,45.5%,11.9%,32.3%,6.6%,68.1%,69.2%,,,,,,
